iter	RMSE
0	16.42254659
1	16.01604995
2	15.68610852
3	15.30492637
4	14.92774574
5	14.57394566
6	14.2651237
7	13.95385495
8	13.67491758
9	13.38296119
10	13.0904815
11	12.81061359
12	12.58269193
13	12.31987786
14	12.05178442
15	11.84735708
16	11.61308496
17	11.38382363
18	11.16658035
19	10.95701402
20	10.74123227
21	10.5747774
22	10.39127785
23	10.21872379
24	10.06134532
25	9.898217454
26	9.724890313
27	9.582330955
28	9.429512452
29	9.274573025
30	9.111361646
31	8.978935387
32	8.832873755
33	8.686638478
34	8.556503027
35	8.443087007
36	8.314960249
37	8.210246373
38	8.099351475
39	7.998201532
40	7.883634685
41	7.793756887
42	7.705935468
43	7.60226963
44	7.508074522
45	7.418315907
46	7.347612717
47	7.272971354
48	7.186913362
49	7.115655561
50	7.031423198
51	6.964345512
52	6.899952624
53	6.825839616
54	6.752000213
55	6.681250966
56	6.617256445
57	6.559920533
58	6.490449858
59	6.441808733
60	6.379352588
61	6.328198367
62	6.285331856
63	6.241034592
64	6.187669376
65	6.136871292
66	6.087889657
67	6.047028887
68	6.006273203
69	5.969791613
70	5.932138853
71	5.886048607
72	5.844603605
73	5.797848291
74	5.764350263
75	5.725129037
76	5.687077714
77	5.65124745
78	5.612814495
79	5.583370886
80	5.558920593
81	5.526917029
82	5.494486276
83	5.462028944
84	5.433489501
85	5.410421409
86	5.387445148
87	5.354453619
88	5.331819361
89	5.303829058
90	5.285067307
91	5.261266332
92	5.236209323
93	5.209024061
94	5.181968033
95	5.157819437
96	5.138970931
97	5.116899421
98	5.091512683
99	5.065889156
100	5.040098157
101	5.022316281
102	5.0055733
103	4.987228742
104	4.965839687
105	4.948601994
106	4.926695823
107	4.914674265
108	4.89451859
109	4.880795356
110	4.865041222
111	4.849640611
112	4.829517082
113	4.811241966
114	4.797468932
115	4.776562259
116	4.75967132
117	4.744317512
118	4.726633582
119	4.711402447
120	4.695254592
121	4.685845277
122	4.669455728
123	4.655418537
124	4.643036005
125	4.628834731
126	4.615514072
127	4.603583026
128	4.586078952
129	4.569380286
130	4.556316949
131	4.538405306
132	4.527244901
133	4.517775985
134	4.500366286
135	4.487559189
136	4.480181083
137	4.465095951
138	4.456254771
139	4.440026743
140	4.427820975
141	4.415629576
142	4.411656079
143	4.394114952
144	4.383138526
145	4.370659453
146	4.359108962
147	4.353509661
148	4.34226743
149	4.32933492
150	4.320025751
151	4.313073591
152	4.296463045
153	4.283117508
154	4.269664718
155	4.256370149
156	4.241987026
157	4.235011123
158	4.226980996
159	4.215707251
160	4.204646169
161	4.197722419
162	4.189386313
163	4.174438932
164	4.165092021
165	4.157830271
166	4.144634775
167	4.134445
168	4.122609532
169	4.112557513
170	4.098885544
171	4.087855056
172	4.079203084
173	4.072770396
174	4.064940673
175	4.057012855
176	4.043323277
177	4.033543056
178	4.020678178
179	4.008518967
180	3.999843139
181	3.991967684
182	3.983696901
183	3.966860511
184	3.958901574
185	3.951935347
186	3.940731199
187	3.933466522
188	3.927027986
189	3.91665849
190	3.908289938
191	3.901416699
192	3.897527819
193	3.886390594
194	3.878704817
195	3.863908539
196	3.857060419
197	3.847139191
198	3.838741889
199	3.828222959
200	3.823080281
201	3.815502194
202	3.809182521
203	3.801983455
204	3.791617326
205	3.7819929
206	3.777509529
207	3.766985198
208	3.758762823
209	3.748570014
210	3.743150077
211	3.734672981
212	3.730716326
213	3.719444696
214	3.70736646
215	3.701607739
216	3.697632324
217	3.691697523
218	3.686905082
219	3.678969643
220	3.671833169
221	3.667894486
222	3.663803999
223	3.65922437
224	3.653279759
225	3.647501478
226	3.64123946
227	3.636642584
228	3.62512455
229	3.619330669
230	3.613257662
231	3.609142906
232	3.59748674
233	3.593058981
234	3.583366934
235	3.574358792
236	3.570326749
237	3.565960321
238	3.558868219
239	3.555310385
240	3.547062352
241	3.536553758
242	3.532172192
243	3.527650812
244	3.523100325
245	3.515016793
246	3.51037576
247	3.503667566
248	3.499783311
249	3.493070938
250	3.485358322
251	3.478180071
252	3.469212184
253	3.455115704
254	3.446488741
255	3.442197574
256	3.432197054
257	3.427342969
258	3.425017199
259	3.41867951
260	3.415944406
261	3.408118388
262	3.399431574
263	3.392101713
264	3.384649988
265	3.376590929
266	3.368167254
267	3.361898353
268	3.353832322
269	3.347699487
270	3.343804358
271	3.335424929
272	3.331679348
273	3.327715522
274	3.321175089
275	3.316259108
276	3.312827591
277	3.308132145
278	3.301012754
279	3.293731613
280	3.285918805
281	3.27882025
282	3.275069902
283	3.268795125
284	3.264454324
285	3.261534659
286	3.256271786
